Year Opened,state,county,county_id,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,Power_Capacity_Level3_kW,Power_Capacity_Level1_kW,Power_Capacity_Level2_kW,Power_Capacity_kW,All_Ports,id
2021,Indiana,LaPorte County,18091,20.0,0.0,3.0,4000.0,0.0,39.0,4039.0,23.0,18091
2021,Indiana,Lake County,18089,0.0,0.0,8.0,0.0,0.0,104.0,104.0,8.0,18089
2021,Indiana,Marion County,18097,12.0,0.0,24.0,2400.0,0.0,312.0,2712.0,36.0,18097
2021,Indiana,Monroe County,18105,0.0,0.0,12.0,0.0,0.0,156.0,156.0,12.0,18105
2021,Indiana,Newton County,18111,12.0,0.0,0.0,2400.0,0.0,0.0,2400.0,12.0,18111
2021,Indiana,Porter County,18127,16.0,0.0,6.0,3200.0,0.0,78.0,3278.0,22.0,18127
2021,Indiana,Rush County,18139,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,18139
2021,Indiana,Shelby County,18145,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,18145
2021,Indiana,St. Joseph County,18141,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,18141
2021,Indiana,Steuben County,18151,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,18151
2021,Indiana,Switzerland County,18155,0.0,0.0,1.0,0.0,0.0,13.0,13.0,1.0,18155
2021,Indiana,Tippecanoe County,18157,0.0,0.0,14.0,0.0,0.0,182.0,182.0,14.0,18157
2021,Indiana,Vanderburgh County,18163,8.0,0.0,0.0,1600.0,0.0,0.0,1600.0,8.0,18163
2021,Kentucky,Caldwell County,21033,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,21033
2021,Kentucky,Hardin County,21093,8.0,0.0,0.0,1600.0,0.0,0.0,1600.0,8.0,21093
2021,Maryland,Dorchester County,24019,0.0,0.0,6.0,0.0,0.0,78.0,78.0,6.0,24019
2021,Massachusetts,Barnstable County,25001,0.0,0.0,42.0,0.0,0.0,546.0,546.0,42.0,25001
2021,Massachusetts,Bristol County,25005,0.0,0.0,58.0,0.0,0.0,754.0,754.0,58.0,25005
2021,Massachusetts,Dukes County,25007,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,25007
2021,Massachusetts,Essex County,25009,0.0,0.0,200.0,0.0,0.0,2600.0,2600.0,200.0,25009
2021,Massachusetts,Franklin County,25011,0.0,0.0,28.0,0.0,0.0,364.0,364.0,28.0,25011
2021,Massachusetts,Hampshire County,25015,0.0,0.0,81.0,0.0,0.0,1053.0,1053.0,81.0,25015
2021,Massachusetts,Nantucket County,25019,0.0,0.0,13.0,0.0,0.0,169.0,169.0,13.0,25019
2021,Massachusetts,Norfolk County,25021,32.0,0.0,106.0,6400.0,0.0,1378.0,7778.0,138.0,25021
2021,Massachusetts,Plymouth County,25023,4.0,0.0,87.0,800.0,0.0,1131.0,1931.0,91.0,25023
2021,Massachusetts,Suffolk County,25025,0.0,0.0,479.0,0.0,0.0,6227.0,6227.0,479.0,25025
2021,Maryland,Baltimore County,24005,30.0,0.0,85.0,6000.0,0.0,1105.0,7105.0,115.0,24005
2021,Maryland,Baltimore city,24510,15.0,0.0,62.0,3000.0,0.0,806.0,3806.0,77.0,24510
2021,Maryland,Calvert County,24009,2.0,0.0,8.0,400.0,0.0,104.0,504.0,10.0,24009
2021,Maryland,Caroline County,24011,0.0,0.0,5.0,0.0,0.0,65.0,65.0,5.0,24011
2021,Maryland,Carroll County,24013,1.0,0.0,9.0,200.0,0.0,117.0,317.0,10.0,24013
2021,Maryland,Charles County,24017,9.0,0.0,20.0,1800.0,0.0,260.0,2060.0,29.0,24017
2021,Massachusetts,Berkshire County,25003,0.0,0.0,47.0,0.0,0.0,611.0,611.0,47.0,25003
2021,Louisiana,Rapides Parish,22079,1.0,0.0,2.0,200.0,0.0,26.0,226.0,3.0,22079
2021,Kentucky,Harlan County,21095,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,21095
2021,Louisiana,Livingston Parish,22063,0.0,0.0,1.0,0.0,0.0,13.0,13.0,1.0,22063
2021,Kentucky,Jefferson County,21111,12.0,0.0,49.0,2400.0,0.0,637.0,3037.0,61.0,21111
2021,Kentucky,Kenton County,21117,1.0,0.0,0.0,200.0,0.0,0.0,200.0,1.0,21117
2021,Kentucky,Larue County,21123,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,21123
2021,Kentucky,Livingston County,21139,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,21139
2021,Kentucky,Madison County,21151,0.0,0.0,14.0,0.0,0.0,182.0,182.0,14.0,21151
2021,Kentucky,Muhlenberg County,21177,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,21177
2021,Kentucky,Nelson County,21179,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,21179
2021,Kentucky,Ohio County,21183,8.0,0.0,0.0,1600.0,0.0,0.0,1600.0,8.0,21183
2021,Kentucky,Pike County,21195,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,21195
2021,Kentucky,Scott County,21209,0.0,0.0,4.0,0.0,0.0,52.0,52.0,4.0,21209
2021,Kentucky,Warren County,21227,0.0,0.0,2.0,0.0,0.0,26.0,26.0,2.0,21227
